5984,鹿晗 《原动力 (星战版)》
5990,鹿晗的有点儿意思
6005,鹿晗的《某时某刻》
6007,鹿晗的超级冠军
6119,鹿饭《致爱》 鹿晗
6158,【鹿晗】izzue x LuHan 有咩願望想話俾鹿晗知？
6270,"虫儿飞 , 鹿晗"
6363,"16-11-19大张伟演唱会,鹿晗现场首唱新歌{某时某刻}"
6544,勋章--鹿晗
6611,我制作了一张歌词海报：鹿晗 《致爱 Your Song》。
6733,听 我让你走了-鹿晗
6879,权志龙的《good boy》和鹿晗的《有点儿意思》混剪版
6995,曼联球赛放了鹿晗的歌！！超级冠军响彻全场八万人！
7195,鹿晗＃甜蜜蜜＃
7305,鹿晗 - 某时某刻 真的很好听，推荐给你们！（来自
7306,#鹿晗##某时某刻听鹿晗# 这些年，我们读不懂的阿鹿
7312,鹿晗 冒险时间MV
7429,鹿晗 封印
7440,鹿晗《某时某刻》MV
7441,鹿晗——《某时某刻》
7449,鹿晗 《《冒险时间》（Adventure Time）》
7470,鹿晗的诺言
7534,鹿晗爱你一万年
7795,嗨起来233鹿晗超级冠军
7842,《勋章》鹿晗
8096,致爱鹿晗！
8097,致爱——鹿晗
8098,致爱 Your Song-鹿晗
8369,勋章，鹿晗
8370,勋章 (《我是证人》电影主题曲)-鹿晗 简单三字墨北曦
8371,勋章 (《我是证人》电影主题曲)-鹿晗
8491,我制作了一张歌词海报：鹿晗 《诺言》
8492,我制作了一张歌词海报：鹿晗 《某时某刻 》
8494,"我只想每个落日 身边都有你, 《致爱》鹿晗"
8652,我爱小鲜肉 某时某刻爱鹿晗
8687,王二癫，胡二醒，鹿晗超级冠军
8712,听 我们的明天-鹿晗 好听
8719,听 豆浆油条 (Live)-鹿晗
8721,听到了吗？肯德基放鹿晗的《某时某刻》
8722,听 爱上未来的你 (Live)-鹿晗
8779,谁教你说诺言的 鹿晗吗?
8781,谁给你某时某刻了，鹿晗吗?
9156,某时某刻鹿晗
9157,"某时某刻,鹿晗"
9158,某时某刻-鹿晗
9159,#某时某刻分享鹿晗#
9160,某时某刻爱鹿晗
9319,"鹿晗 (有点儿意思), 练习室舞蹈版"
9351,鹿晗演唱会《甜蜜蜜》 好苏
9355,鹿晗，勋章
9356,鹿晗—勋章
9363,鹿晗新歌《某时某刻》
9417,鹿晗我们的明天
9418,鹿晗—我们的明天
9646,鹿晗 诺言
9697,鹿晗 某时某刻 Catch me when I fall
9938,鹿晗《有点儿意思》MV
9939,鹿晗《勋章》
9940,鹿晗《我们的明天》
9943,鹿晗 《冒险时间》
9951,鹿晗 《《有点儿意思》（That Good Good）》
10040,鹿晗 超级冠军
10158,鹿晗–封印
10907,Hey！你们的男朋友鹿晗Luhan
10908,GOOD BOY&有点儿意思结合版，GD撩完鹿晗撩啊
11016,"12月3日。, , 鹿晗再获荣耀勋章，展现王者风范"
11032,1119大张伟北京演唱会 ~鹿晗某时某刻
11139,致爱，鹿晗
11390,"愿你是阳光,明媚不忧伤, ～致爱鹿晗"
11408,原动力 鹿晗
11694,勋章 - 鹿晗。 大爱！
11695,勋章――鹿晗
11734,"写个练习册都可以看到鹿晗 真的是太火了 ,LuHan"
11747,小朋友好酷好厉害跳的是鹿晗的《超级冠军》
11908,吴磊资源部＋鹿晗的《我们的明天》完美～
11921,我制作了一张歌词海报：鹿晗/刘思超/张淇 《虫儿飞》
11922,我制作了一张歌词海报：鹿晗 《诺言》，点击链接听歌
11923,我制作了一张歌词海报：鹿晗 《诺言》。
11924,我制作了一张歌词海报：鹿晗 《《有点儿意思》
11930,"我只看得到你。,,图/LuBlossom_鹿晗"
12097,我们的明天_鹿晗
12441,听 致爱 Your Song-鹿晗 相信我！
12442,听 致爱 Your Song (Live)-鹿晗
12445,听 甜蜜蜜-鹿晗 非常好听！
12463,听 请到长城来滑雪-鹿晗
12464,听 诺言 (手机品牌OPPO广告曲)-鹿晗 咻～
12465,听 某时某刻 Catch me when I fall-鹿晗 鹿晗
12468,听 《有点儿意思》（That Good Good）-鹿晗 好听
12469,听 《有点儿意思》（Instrumental Version）-鹿晗
12471,听 Vol37：男神鹿晗深情表白，“致爱”粉丝-企鹅FM
12474,甜蜜蜜～鹿晗
12607,谁是你的致爱，鹿晗么？
12609,谁让你许下诺言的，鹿晗吗？（一人来一句）
12615,谁给你的致爱，鹿晗吗
13091,全球中文音乐榜上榜 NO1 鹿晗《某时某刻》
13221,诺言 (手机品牌OPPO广告曲)-鹿晗
13222,诺言好看！鹿晗好帅
13258,你所有的努力都会成为你肩膀上的“勋章”鹿晗演唱
13423,"#某时某刻听鹿晗#,就这样 很酷"
13425,某时某刻听鹿晗。
13426,"某时某刻首唱,视频crAchillesHeel_鹿晗个站"
13427,某时某刻（全球首唱）鹿晗
13428,某时某刻聆听着鹿晗
13429,某时某刻撩鹿晗
13430,某时某刻 Catch me when I fall-鹿晗 。
13590,鹿晗助阵大张伟演唱会！首唱《某时某刻》
13598,鹿晗—致爱YourSong
13599,#鹿晗# 致爱 is Your Song
13724,鹿晗-原动力
13757,鹿晗 - 有点儿意思
13873,鹿晗~勋章
13886,鹿晗新歌 某时某刻
